timestamp,battery_soc,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-03-27 10:39:48,,87.0,28.5,53.0,99.0,266.0,26.0,89.5,14.0,0.0,7.679,5.0,50.516769,-84.8046701,7.679,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:49,,89.0,27.5,53.0,94.0,179.0,24.0,88.0,14.0,7.35,7.744,5.0,50.5168375,-84.8046173,7.744,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:50,,90.0,24.0,54.0,79.5,199.0,18.5,84.0,14.0,14.98,8.024,5.0,50.5169035,-84.8045516,8.024,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:51,,91.0,19.5,54.0,76.5,261.0,20.0,67.5,14.0,23.07,8.262,5.0,50.5169695,-84.8044756,8.262,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:52,,91.0,19.5,54.0,76.5,281.0,20.0,67.5,14.0,31.0,8.235,5.0,50.5170311,-84.8043963,8.235,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:53,,92.0,23.0,52.0,88.5,257.0,21.5,74.5,14.0,38.8,8.252,5.0,50.5170969,-84.8043263,8.252,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:54,,93.0,24.5,52.0,93.0,247.0,22.0,77.0,14.0,46.81,8.276,5.0,50.5171624,-84.804251,8.276,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:55,,93.0,27.5,51.0,95.0,258.0,22.5,78.5,14.0,54.38,8.158,5.0,50.5172309,-84.8041921,8.158,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:56,,93.0,31.0,50.0,97.5,269.0,23.0,79.5,14.0,62.44,8.122,5.0,50.5172997,-84.8041215,8.122,,,,2022,3,27,10,4.67,137.0
2022-03-27 10:39:57,,93.0,31.0,49.0,97.5,220.0,23.0,79.5,14.0,70.42,8.052,5.0,50.5173672,-84.8040501,8.052,,,,2022,3,27,10,4.67,137.0
