ascent,descent,timestamp,battery_soc,cadence,enhanced_speed,gps_accuracy,position_lat,position_long,power,speed,temperature,calories,distance,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,altitude,enhanced_altitude,grade,left_right_balance,year,month,day,hour,wind_speed,wind_direction
0,0,2023-02-08 23:35:27,3.0,89.0,5.922,3.0,50.5388055,-84.8215791,171.0,5.922,18.0,,,,,,,,,,,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:28,,89.0,5.835,3.0,50.5387782,-84.8215518,149.0,5.835,18.0,0.0,0.0,18.5,62.0,24.5,78.0,,,,,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:29,,90.0,6.404,3.0,50.5387418,-84.8214881,142.0,6.404,18.0,0.0,5.42,18.5,64.0,21.0,68.5,,,,,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:30,,91.0,7.5,3.0,50.5387008,-84.821397,142.0,7.5,18.0,0.0,13.23,18.5,65.5,18.5,61.5,63.60000000000002,63.60000000000002,0.0,,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:31,,86.0,8.076,3.0,50.5386507,-84.8212878,140.0,8.076,18.0,0.0,21.44,18.5,65.0,20.0,68.5,63.39999999999998,63.39999999999998,0.0,,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:32,,88.0,7.941,3.0,50.5386052,-84.8211968,158.0,7.941,18.0,0.0,29.35,18.5,64.5,22.0,75.5,63.39999999999998,63.39999999999998,0.0,49.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:33,,89.0,7.451,3.0,50.5385597,-84.8211149,164.0,7.451,18.0,0.0,36.51,21.5,71.0,21.5,76.5,63.39999999999998,63.39999999999998,0.0,47.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:34,,89.0,7.461,3.0,50.5385188,-84.8210148,152.0,7.461,18.0,0.0,44.16,22.5,74.0,22.0,75.5,63.39999999999998,63.39999999999998,0.0,48.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:35,,89.0,7.749,3.0,50.5384732,-84.8209146,149.0,7.749,18.0,1.0,52.51,19.0,65.5,23.5,75.0,63.39999999999998,63.39999999999998,0.0,50.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:36,,89.0,7.685,3.0,50.5384323,-84.8208145,122.0,7.685,17.0,1.0,60.11,16.0,58.5,19.5,65.5,63.39999999999998,63.39999999999998,0.0,52.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:37,,83.0,7.778,3.0,50.5383822,-84.8207144,109.0,7.778,17.0,1.0,68.02,16.0,57.0,18.5,64.0,63.39999999999998,63.39999999999998,0.0,51.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:38,,56.0,7.647,3.0,50.5383367,-84.8206325,96.0,7.647,17.0,1.0,75.64,16.5,56.0,18.0,63.0,63.39999999999998,63.39999999999998,0.0,51.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:39,,29.0,7.356,3.0,50.5382912,-84.8205505,83.0,7.356,17.0,1.0,82.86,17.0,57.0,18.0,63.5,63.200000000000045,63.200000000000045,0.0,52.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:40,,2.0,7.039,3.0,50.5382457,-84.8204686,0.0,7.039,17.0,1.0,89.78,17.5,60.5,18.5,65.5,63.200000000000045,63.200000000000045,0.0,52.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:41,,0.0,6.85,3.0,50.5382002,-84.8203867,0.0,6.85,17.0,1.0,96.62,18.5,63.5,19.5,68.0,63.200000000000045,63.200000000000045,0.0,52.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:42,,0.0,6.175,3.0,50.5381638,-84.820323,0.0,6.175,17.0,1.0,102.57,19.5,67.0,20.0,70.0,63.200000000000045,63.200000000000045,0.0,52.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:43,,0.0,5.592,3.0,50.5381274,-84.8202593,0.0,5.592,17.0,1.0,107.96,20.5,70.5,21.0,72.0,63.200000000000045,63.200000000000045,0.0,53.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:44,,0.0,5.528,3.0,50.538091,-84.8201956,0.0,5.528,17.0,1.0,113.46,21.0,73.5,21.5,74.5,63.200000000000045,63.200000000000045,0.0,53.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:45,,0.0,5.605,3.0,50.5380545,-84.8201318,0.0,5.605,17.0,1.0,119.03,22.0,77.0,22.5,76.5,63.200000000000045,63.200000000000045,0.0,53.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:46,,0.0,5.412,3.0,50.5380181,-84.8200681,0.0,5.412,17.0,1.0,124.31,23.0,80.5,23.0,78.5,63.39999999999998,63.39999999999998,0.0,53.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:47,,20.0,5.484,3.0,50.5379772,-84.8200135,26.0,5.484,17.0,1.0,129.86,24.0,84.0,23.5,81.0,63.39999999999998,63.39999999999998,0.0,54.0,2023,2,8,23,1.63,47.0
0,0,2023-02-08 23:35:48,,62.0,6.131,3.0,50.5379317,-84.8199498,90.0,6.131,17.0,1.0,136.29,24.5,87.0,24.5,83.0,63.39999999999998,63.39999999999998,0.0,54.0,2023,2,8,23,1.63,47.0
