timestamp,battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-08-23 18:17:44,77.0,44.0,0.0,0.0,0.0,4.0,26.5,49.0,93.5,50.5368622,-84.8297893,39.0,12.0,41.5,0.0,20.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:45,,52.0,0.0,0.0,0.0,4.0,26.0,49.0,91.5,50.5368864,-84.8297651,66.0,13.5,46.5,0.0,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:46,,59.0,0.0,0.0,0.0,3.0,26.0,50.0,90.0,50.5369132,-84.8297371,112.0,15.5,52.0,0.0,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:47,,67.0,0.0,0.0,0.0,3.0,26.0,44.0,88.0,50.5369579,-84.8296829,178.0,17.5,57.0,0.0,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:50,,82.0,0.0,0.6,5.636,3.0,25.5,57.0,82.0,50.5370854,-84.8295196,157.0,23.0,73.0,5.636,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:51,,83.0,0.0,6.1,5.561,3.0,24.0,46.0,76.5,50.5371293,-84.8294668,113.0,22.0,70.0,5.561,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:52,,83.0,0.0,12.03,5.406,3.0,22.0,45.0,70.0,50.5371772,-84.8294094,98.0,20.5,66.0,5.406,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:53,,83.0,1.0,17.6,5.404,3.0,20.0,47.0,64.0,50.5372223,-84.8293552,104.0,19.5,62.0,5.404,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:54,,84.0,1.0,23.27,5.465,3.0,19.0,48.0,59.5,50.5372675,-84.8293004,113.0,18.5,60.0,5.465,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:55,,85.0,1.0,28.96,5.485,3.0,21.5,48.0,65.5,50.537309,-84.8292448,121.0,20.5,68.5,5.485,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:56,,85.0,1.0,34.84,5.501,3.0,22.5,53.0,72.5,50.5373541,-84.829182,124.0,19.5,65.0,5.501,21.0,,,,,,2022,8,23,18,0.9,180.0
2022-08-23 18:17:57,,82.0,1.0,40.51,5.634,3.0,23.5,51.0,80.0,50.5373949,-84.8291253,118.0,18.5,60.0,5.634,21.0,,,,,,2022,8,23,18,0.9,180.0
