timestamp,battery_soc,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,altitude,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-01-12 22:01:35,,26.0,1.5,20.0,98.0,242.0,23.5,73.5,0.0,0.0,3.0,50.3912228,-84.4779921,0.0,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:36,,70.0,19.5,17.0,96.5,328.0,16.5,67.5,5.71,5.563,3.0,50.3912591,-84.4779257,5.563,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:37,,93.0,24.5,28.0,83.0,275.0,16.5,72.0,11.9,10.707,3.0,50.3912985,-84.4778535,10.707,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:38,,98.0,20.5,40.0,70.5,197.0,20.0,80.0,23.49,11.281,3.0,50.3913721,-84.4777185,11.281,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:39,,103.0,21.0,48.0,70.0,202.0,21.5,75.0,35.41,11.812,3.0,50.3914488,-84.4775805,11.812,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:40,,105.0,21.5,51.0,64.5,286.0,20.5,70.5,47.9,12.245,3.0,50.3915272,-84.4774339,12.245,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:41,,108.0,21.0,49.0,57.5,395.0,18.0,67.5,60.88,12.582,3.0,50.391609,-84.4772822,12.582,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:42,,110.0,22.5,49.0,68.0,286.0,18.0,67.5,73.86,12.964,3.0,50.3916912,-84.4771306,12.964,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:43,,112.0,24.0,49.0,78.0,178.0,18.0,67.5,87.08,13.507,3.0,50.3917778,-84.4769791,13.507,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:44,,113.0,25.5,49.0,88.5,69.0,18.0,67.5,101.17,13.996,3.0,50.3918703,-84.4768179,13.996,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:45,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,114.38,14.706,3.0,50.3919556,-84.4766654,14.706,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:46,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,130.89,15.328,3.0,50.3920601,-84.4764725,15.328,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:47,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,146.14,15.138,3.0,50.3921596,-84.4762976,15.138,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:48,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,161.07,15.188,3.0,50.3922578,-84.4761269,15.188,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:49,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,175.91,14.453,3.0,50.3923562,-84.4759582,14.453,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:50,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,190.76,15.017,3.0,50.3924546,-84.4757892,15.017,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:51,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,205.79,14.835,3.0,50.3925556,-84.4756197,14.835,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:52,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,220.4,14.606,3.0,50.3926543,-84.4754556,14.606,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:53,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,234.66,14.397,3.0,50.3927494,-84.4752941,14.397,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:54,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,248.97,14.018,3.0,50.3928429,-84.4751298,14.018,7.0,,,,2022,1,12,22,1.49,222.0
2022-01-12 22:01:55,,0.0,26.5,49.0,95.0,0.0,18.0,67.5,263.06,13.76,3.0,50.3929362,-84.4749694,13.76,7.0,,,,2022,1,12,22,1.49,222.0
