altitude,distance,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,ascent,battery_soc,descent,grade,temperature,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,year,month,day,hour,wind_speed,wind_direction
27.0,6.4,27.0,9.357,2,50.3911668,-84.4784146,9.357,2022-08-12 23:12:30,,,,,,,,,,,,,,2022,8,12,23,2.55,228.0
27.0,12.79,27.0,9.678,2,50.3912071,-84.4783402,9.678,2022-08-12 23:12:31,0.0,5.0,0.0,0.0,,,,,,,,,,2022,8,12,23,2.55,228.0
26.799999999999955,19.56,26.799999999999955,9.995,2,50.3912497,-84.4782614,9.995,2022-08-12 23:12:32,0.0,,0.0,0.0,,,,,,,,,,2022,8,12,23,2.55,228.0
26.600000000000023,31.22,26.600000000000023,10.243,2,50.3913237,-84.4781259,10.243,2022-08-12 23:12:33,0.0,,0.0,0.0,,,,,,,,,,2022,8,12,23,2.55,228.0
26.0,41.56,26.0,10.468,2,50.391392,-84.4780076,10.468,2022-08-12 23:12:34,0.0,,0.0,0.0,,,,,,,,,,2022,8,12,23,2.55,228.0
25.399999999999977,52.24,25.399999999999977,10.813,2,50.3914613,-84.4778872,10.813,2022-08-12 23:12:35,0.0,,0.0,0.0,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
24.600000000000023,63.22,24.600000000000023,11.159,2,50.3915338,-84.4777603,11.159,2022-08-12 23:12:36,0.0,,0.0,0.0,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
24.0,74.56,24.0,11.48,2,50.391607,-84.477632,11.48,2022-08-12 23:12:37,0.0,,0.0,-0.01,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
23.200000000000045,86.32,23.200000000000045,11.919,2,50.3916858,-84.4774946,11.919,2022-08-12 23:12:38,0.0,,2.0,-3.08,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
22.600000000000023,98.48,22.600000000000023,12.486,2,50.3917667,-84.4773561,12.486,2022-08-12 23:12:39,0.0,,2.0,-3.66,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
21.399999999999977,111.08,21.399999999999977,12.924,2,50.3918457,-84.4772112,12.924,2022-08-12 23:12:40,0.0,,3.0,-4.21,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
20.0,124.34,20.0,13.43,2,50.391933,-84.4770601,13.43,2022-08-12 23:12:41,0.0,,4.0,-4.8,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
18.399999999999977,138.25,18.399999999999977,14.163,2,50.3920189,-84.4768953,14.163,2022-08-12 23:12:42,0.0,,5.0,-5.54,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
17.0,152.55,17.0,14.412,2,50.3921061,-84.4767228,14.412,2022-08-12 23:12:43,0.0,,6.0,-6.41,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
15.399999999999977,167.31,15.399999999999977,14.873,2,50.392198,-84.4765501,14.873,2022-08-12 23:12:44,0.0,,8.0,-7.35,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
14.0,182.46,14.0,15.395,2,50.392294,-84.4763761,15.395,2022-08-12 23:12:45,0.0,,9.0,-8.25,23.0,,,,,,,,,2022,8,12,23,2.55,228.0
12.399999999999977,197.95,12.399999999999977,15.324,2,50.3923938,-84.4761948,15.324,2022-08-12 23:12:46,0.0,,11.0,-9.08,23.0,98.0,0.0,22.5,45.0,81.5,230.0,10.5,,2022,8,12,23,2.55,228.0
11.199999999999989,213.59,11.199999999999989,15.415,2,50.3924957,-84.4760131,15.415,2022-08-12 23:12:47,0.0,,12.0,-9.45,23.0,98.0,0.0,19.5,45.0,71.0,241.0,21.0,91.5,2022,8,12,23,2.55,228.0
10.0,229.25,10.0,15.136,2,50.3926008,-84.4758394,15.136,2022-08-12 23:12:48,0.0,,14.0,-9.5,23.0,98.0,0.0,19.5,44.0,70.5,240.0,23.0,85.5,2022,8,12,23,2.55,228.0
9.0,244.47,9.0,14.855,2,50.3927044,-84.4756666,14.855,2022-08-12 23:12:49,0.0,,16.0,-8.96,23.0,98.0,0.0,19.5,44.0,68.0,212.0,24.0,82.5,2022,8,12,23,2.55,228.0
