timestamp,battery_soc,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,left_right_balance,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
2022-07-07 00:01:03,,97.0,0.0,20.0,69.0,195.0,15.5,55.0,0.0,0.0,8.0,50.5162638,-84.8081533,0.0,,,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:04,,92.0,0.0,21.5,73.5,197.0,17.0,62.0,0.0,0.0,7.0,50.5163498,-84.8080735,0.0,48.0,,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:09,,99.0,0.0,20.0,75.0,184.0,19.5,66.5,5.63,10.767,7.0,50.517011,-84.8074743,10.767,50.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:10,,97.0,1.0,21.0,77.0,205.0,19.0,65.5,16.53,10.969,7.0,50.5171049,-84.80738,10.969,47.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:11,,92.0,1.0,22.0,80.5,294.0,21.0,72.0,26.08,10.857,7.0,50.5171854,-84.8072943,10.857,51.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:12,,89.0,1.0,23.5,84.0,294.0,23.5,78.5,33.6,10.391,7.0,50.5172382,-84.8072143,10.391,46.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:13,,85.0,1.0,22.0,79.0,264.0,24.0,82.5,46.29,9.0,6.0,50.5172985,-84.8070489,9.0,43.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:14,,80.0,2.0,21.0,75.0,232.0,24.0,83.5,53.96,8.35,6.0,50.517348,-84.8069616,8.35,46.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:15,,76.0,2.0,21.0,74.5,193.0,24.0,81.5,61.94,7.746,6.0,50.5174048,-84.8068729,7.746,51.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:16,,76.0,2.0,21.0,74.5,175.0,24.5,80.0,69.03,7.188,6.0,50.5174548,-84.8067958,7.188,51.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:17,,77.0,2.0,21.0,74.0,173.0,24.5,78.0,75.83,6.573,6.0,50.517505,-84.8067275,6.573,50.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:18,,79.0,2.0,21.5,76.0,178.0,24.5,77.0,82.4,6.162,5.0,50.5175574,-84.8066639,6.162,50.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:19,,77.0,2.0,19.0,66.0,181.0,24.0,77.0,87.34,5.888,5.0,50.5175952,-84.8066102,5.888,45.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:20,,77.0,3.0,7.5,24.5,179.0,22.0,76.0,93.08,5.517,5.0,50.5176385,-84.8065511,5.517,46.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:21,,75.0,3.0,17.5,64.5,139.0,9.5,32.5,99.19,5.228,4.0,50.5176843,-84.8064913,5.228,68.0,23.0,,,,,,2022,7,7,0,3.18,257.0
2022-07-07 00:01:22,,71.0,3.0,22.0,78.5,147.0,12.5,43.0,103.21,5.033,4.0,50.5177134,-84.8064512,5.033,56.0,23.0,,,,,,2022,7,7,0,3.18,257.0
